,node,y,x,osmid,highway,ref
40340,29145671,51.3023266,-0.7275208,29145671,mini_roundabout,
40341,29284764,51.1496663,-0.1437746,29284764,,
40342,29284765,51.1491603,-0.1442565,29284765,,
40343,29456959,51.1898828,-0.6070212,29456959,,
40344,29456962,51.1899957,-0.6068495,29456962,,
40345,29456964,51.189918,-0.6067807,29456964,,
40346,29456965,51.1898453,-0.606878,29456965,,
40347,29458221,51.1896484,-0.6071479,29458221,,
40348,29458229,51.1900376,-0.606575,29458229,,
40349,29458261,51.2041281,-0.5871417,29458261,,
40350,29529926,51.2395887,-0.5714293,29529926,,
40351,29529942,51.2398053,-0.5708338,29529942,,
40352,29579450,51.187379,-0.6084724,29579450,,
40353,29691430,51.4400217,-0.1061777,29691430,,
40354,29738756,51.083035,-0.132084,29738756,,
40355,29738757,51.0850333,-0.132986,29738757,,
40356,29738779,51.1034609,-0.0854296,29738779,,
40357,29810754,51.0877431,-0.4042259,29810754,,
40358,29810755,51.0876392,-0.40413,29810755,,
40359,29826867,51.1681197,-0.6491826,29826867,,
40360,29835494,51.4411705,-0.1062605,29835494,,
40361,29835495,51.4410363,-0.1065391,29835495,,
40362,29942329,51.2406255,-0.5761288,29942329,,
40363,29942330,51.2406372,-0.5760242,29942330,,
40364,30023000,51.2403716,-0.575981,30023000,,
40365,30023002,51.2403117,-0.5760593,30023002,,
40366,30040592,51.2358443,-0.5790566,30040592,,
40367,30202675,51.135103,-0.1857009,30202675,,
40368,30202677,51.1345203,-0.1857114,30202677,,
40369,30202714,51.1265267,-0.1700161,30202714,,
40370,30232285,51.1717222,-0.6428151,30232285,mini_roundabout,
40371,30232304,51.1790509,-0.6543842,30232304,,
40372,30427042,51.4569272,-0.2675908,30427042,,
40373,30443369,51.2923721,-0.2219463,30443369,,
40374,30553471,51.3651789,-0.1635318,30553471,,
40375,30554045,51.3153509,-0.1646122,30554045,,
40376,30558206,51.0120513,-0.0815327,30558206,,
40377,30631836,51.438945,-0.1287579,30631836,,
40378,30684876,51.2185942,-0.5807664,30684876,,
40379,30793824,51.2523521,-0.0667664,30793824,,
40380,30863432,51.4548991,-0.3118669,30863432,,
40381,30945729,51.2785744,-0.5094706,30945729,,
40382,31268643,51.0232834,-0.4798709,31268643,,
40383,31268644,51.0235004,-0.4799144,31268644,,
40384,31296209,51.1803899,-0.164499,31296209,,
40385,31296210,51.1805147,-0.1630604,31296210,,
40386,31296211,51.1802594,-0.163443,31296211,,
40387,31336275,51.336561,-0.7199325,31336275,,
40388,31336299,51.3302244,-0.7119777,31336299,,
40389,31471981,51.4320447,-0.2919969,31471981,,
40390,31816030,51.3172905,-0.2429187,31816030,,
40391,32121129,51.1804227,-0.1640832,32121129,,
40392,32121387,51.1200142,-0.1884536,32121387,,
40393,32446399,51.3398615,-0.2552751,32446399,,
40394,32531913,51.4197945,-0.2031504,32531913,,
40395,32568822,51.4143264,-0.1926008,32568822,,
40396,32568970,51.4156348,-0.1919005,32568970,,
40397,32569020,51.4154423,-0.1924221,32569020,,
40398,32569599,51.4208486,-0.2064276,32569599,,
40399,32569608,51.4207457,-0.206003,32569608,,
40400,32569662,51.4206133,-0.2063238,32569662,,
40401,32570627,51.4126544,-0.19209,32570627,traffic_signals,
40402,32847669,51.3344076,-0.2543277,32847669,,
40403,32922292,51.1023264,-0.1446422,32922292,,
40404,32922293,51.1026641,-0.1445277,32922293,,
40405,32922297,51.1025779,-0.1449738,32922297,,
40406,32922303,51.106839,-0.145005,32922303,,
40407,32922307,51.1073905,-0.1450983,32922307,,
40408,32922308,51.1073289,-0.144737,32922308,,
40409,32922309,51.1076927,-0.1447005,32922309,,
40410,32922312,51.1070176,-0.1446092,32922312,,
40411,32922318,51.1081015,-0.1402915,32922318,,
40412,32928688,51.4529122,-0.1010459,32928688,traffic_signals,
40413,33039630,51.3273118,-0.2440573,33039630,,
40414,33039939,51.3169947,-0.2419074,33039939,,
40415,33039941,51.3171305,-0.2413026,33039941,,
40416,33039943,51.3170232,-0.24121,33039943,,
40417,33138574,51.4313445,-0.7106385,33138574,,
40418,33160055,51.3163858,-0.230904,33160055,,
40419,33377057,51.1004637,-0.2135059,33377057,,
40420,33377060,51.1002361,-0.2144981,33377060,,
40421,33400804,51.4281098,-0.0853549,33400804,,
40422,33400813,51.4279494,-0.0854562,33400813,,
40423,33500420,51.3616949,-0.1901513,33500420,,
40424,33500446,51.361369,-0.1940253,33500446,,
40425,33500448,51.3613969,-0.194436,33500448,,
40426,33501091,51.3602901,-0.1917074,33501091,,
40427,33501092,51.3604617,-0.1916077,33501092,,
40428,33501093,51.3603821,-0.1919294,33501093,,
40429,33505505,51.3617052,-0.1941824,33505505,,
40430,33508217,51.372479,-0.1942263,33508217,,
40431,33763060,51.3686621,-0.1545915,33763060,,
40432,33776167,51.4554936,-0.110584,33776167,,
40433,33776210,51.4523962,-0.1022282,33776210,,
40434,33776234,51.4556043,-0.1107389,33776234,,
40435,33776292,51.4554976,-0.1108418,33776292,,
40436,33797016,51.1786966,-0.6512662,33797016,,
40437,34555518,51.4108538,-0.1613874,34555518,,
40438,34555521,51.4108603,-0.1616386,34555521,,
40439,34555522,51.4109477,-0.1614898,34555522,,
40440,34958797,51.1990464,-0.1664051,34958797,,
40441,35267318,51.1118286,-0.1471676,35267318,,
40442,35267327,51.1119388,-0.147088,35267327,,
40443,35432953,51.4071465,-0.229476,35432953,,
40444,35432954,51.4070018,-0.2294545,35432954,,
40445,35788938,51.4498956,-0.0466993,35788938,,
40446,35824783,51.3031491,-0.321824,35824783,,
40447,36140963,51.3931059,-0.3044001,36140963,,
40448,36140969,51.3931762,-0.3042646,36140969,,
40449,36867981,51.3840007,-0.1902882,36867981,traffic_signals,
40450,36867994,51.3988652,-0.1870175,36867994,,
40451,36931613,51.4096781,-0.229834,36931613,,
40452,36932163,51.4076056,-0.2191746,36932163,,
